Using device: cpu
| epoch   7 |  1200/ 2826 batches | lr 20.00 | ms/batch 237.54 | loss  4.31 | ppl    74.19
| epoch   7 |  1300/ 2826 batches | lr 20.00 | ms/batch 395.35 | loss  4.28 | ppl    72.32
| epoch   7 |  1400/ 2826 batches | lr 20.00 | ms/batch 287.54 | loss  4.30 | ppl    74.05
| epoch   7 |  1500/ 2826 batches | lr 20.00 | ms/batch 244.33 | loss  4.31 | ppl    74.50
| epoch   7 |  1600/ 2826 batches | lr 20.00 | ms/batch 218.50 | loss  4.27 | ppl    71.54
| epoch   7 |  1700/ 2826 batches | lr 20.00 | ms/batch 230.69 | loss  4.29 | ppl    73.09
| epoch   7 |  1800/ 2826 batches | lr 20.00 | ms/batch 254.70 | loss  4.34 | ppl    76.67
| epoch   7 |  1900/ 2826 batches | lr 20.00 | ms/batch 334.31 | loss  4.28 | ppl    72.58
| epoch   7 |  2000/ 2826 batches | lr 20.00 | ms/batch 221.45 | loss  4.30 | ppl    73.37
| epoch   7 |  2100/ 2826 batches | lr 20.00 | ms/batch 281.65 | loss  4.29 | ppl    72.86
| epoch   7 |  2200/ 2826 batches | lr 20.00 | ms/batch 270.28 | loss  4.27 | ppl    71.87
| epoch   7 |  2300/ 2826 batches | lr 20.00 | ms/batch 246.77 | loss  4.32 | ppl    75.03
| epoch   7 |  2400/ 2826 batches | lr 20.00 | ms/batch 302.96 | loss  4.32 | ppl    75.13
| epoch   7 |  2500/ 2826 batches | lr 20.00 | ms/batch 263.92 | loss  4.30 | ppl    73.41
| epoch   7 |  2600/ 2826 batches | lr 20.00 | ms/batch 289.87 | loss  4.31 | ppl    74.60
| epoch   7 |  2700/ 2826 batches | lr 20.00 | ms/batch 294.58 | loss  4.33 | ppl    75.67
| epoch   7 |  2800/ 2826 batches | lr 20.00 | ms/batch 269.36 | loss  4.33 | ppl    75.81
-----------------------------------------------------------------------------------------
| end of epoch   7 | time: 777.26s | valid loss  4.15 | valid ppl    63.50
-----------------------------------------------------------------------------------------
| epoch   8 |   100/ 2826 batches | lr 20.00 | ms/batch 266.14 | loss  4.36 | ppl    78.21
| epoch   8 |   200/ 2826 batches | lr 20.00 | ms/batch 285.88 | loss  4.29 | ppl    73.09
| epoch   8 |   300/ 2826 batches | lr 20.00 | ms/batch 314.28 | loss  4.26 | ppl    70.92
| epoch   8 |   400/ 2826 batches | lr 20.00 | ms/batch 275.28 | loss  4.33 | ppl    75.63
| epoch   8 |   500/ 2826 batches | lr 20.00 | ms/batch 209.28 | loss  4.30 | ppl    73.48
| epoch   8 |   600/ 2826 batches | lr 20.00 | ms/batch 213.67 | loss  4.30 | ppl    73.49
| epoch   8 |   700/ 2826 batches | lr 20.00 | ms/batch 216.56 | loss  4.24 | ppl    69.09
| epoch   8 |   800/ 2826 batches | lr 20.00 | ms/batch 311.39 | loss  4.29 | ppl    73.20
| epoch   8 |   900/ 2826 batches | lr 20.00 | ms/batch 233.86 | loss  4.28 | ppl    72.56
| epoch   8 |  1000/ 2826 batches | lr 20.00 | ms/batch 213.35 | loss  4.32 | ppl    74.94
| epoch   8 |  1100/ 2826 batches | lr 20.00 | ms/batch 233.83 | loss  4.30 | ppl    73.45
| epoch   8 |  1200/ 2826 batches | lr 20.00 | ms/batch 247.35 | loss  4.30 | ppl    73.43
| epoch   8 |  1300/ 2826 batches | lr 20.00 | ms/batch 224.35 | loss  4.27 | ppl    71.24
| epoch   8 |  1400/ 2826 batches | lr 20.00 | ms/batch 217.60 | loss  4.29 | ppl    72.84
| epoch   8 |  1500/ 2826 batches | lr 20.00 | ms/batch 251.60 | loss  4.29 | ppl    73.29
| epoch   8 |  1600/ 2826 batches | lr 20.00 | ms/batch 198.43 | loss  4.26 | ppl    70.83
| epoch   8 |  1700/ 2826 batches | lr 20.00 | ms/batch 222.50 | loss  4.28 | ppl    71.95
| epoch   8 |  1800/ 2826 batches | lr 20.00 | ms/batch 211.74 | loss  4.33 | ppl    75.59
| epoch   8 |  1900/ 2826 batches | lr 20.00 | ms/batch 245.36 | loss  4.27 | ppl    71.34
| epoch   8 |  2000/ 2826 batches | lr 20.00 | ms/batch 220.45 | loss  4.28 | ppl    72.36
| epoch   8 |  2100/ 2826 batches | lr 20.00 | ms/batch 266.58 | loss  4.28 | ppl    72.53
| epoch   8 |  2200/ 2826 batches | lr 20.00 | ms/batch 240.36 | loss  4.25 | ppl    70.42
| epoch   8 |  2300/ 2826 batches | lr 20.00 | ms/batch 307.37 | loss  4.31 | ppl    74.30
| epoch   8 |  2400/ 2826 batches | lr 20.00 | ms/batch 254.85 | loss  4.30 | ppl    74.07
| epoch   8 |  2500/ 2826 batches | lr 20.00 | ms/batch 337.22 | loss  4.28 | ppl    72.09
| epoch   8 |  2600/ 2826 batches | lr 20.00 | ms/batch 230.41 | loss  4.30 | ppl    73.76
| epoch   8 |  2700/ 2826 batches | lr 20.00 | ms/batch 302.91 | loss  4.32 | ppl    75.19
